Index,Timestamp,RefP,X,Y,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagnetoX,MagnetoY,MagnetoZ,etn-scm-iot_b8:27:eb:29:0f:19,eduroam_c8:b5:ad:f3:6b:70,eduroam_c8:b5:ad:f3:6b:60,eduroam_c8:b5:ad:f3:69:c0,eduroam_c8:b5:ad:f3:69:d0,eduroam_84:d4:7e:5f:70:70,ClickShare-1862482789_9c:2f:9d:5f:1e:ad,eduroam_f0:5c:19:c3:5d:a0,eduroam_84:d4:7e:5f:70:60,eduroam_c8:b5:ad:f3:73:20,_be:53:22:90:2f:a7,eduroam_cc:88:c7:03:a4:a0,_7e:cb:24:39:04:02,TP-Link_2FA8_9c:53:22:90:2f:a7,eduroam_cc:d0:83:a0:c3:b0,eduroam_cc:88:c7:03:a4:b0,Tenda_62F1A0_d8:32:14:62:f1:a1,xc_82:88:2e:8f:63:24,eduroam_24:f2:7f:9a:e9:d0,DIRECT-BK_02:e0:db:d8:39:a9,eduroam_cc:d0:83:a0:e0:a0,eduroam_cc:d0:83:a0:e0:b0,vX,vY,Orientation
45,04:50:52:54,NaN,0.0,3.4615384615384617,-0.6437905415923384,1.01498493109478,0.0027381660661791444,-0.08321060646221685,-0.07419283900022608,-0.004484163939907399,-12.150001,-31.331251,-30.581251,-77.0,-80.0,-84.0,-84.0,-85.0,-86.0,-91.0,-91.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
46,04:50:52:66,NaN,0.0,3.576923076923077,-0.6447056496070014,0.9803176881303036,0.02078257086082054,-0.0744165117001861,-0.06122299025815726,-0.0038752921653229344,-11.15625,-31.48125,-30.750002,-77.0,-80.0,-84.0,-84.0,-85.0,-86.0,-91.0,-91.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
47,04:50:52:79,NaN,0.0,3.6923076923076925,-0.6463846367482411,0.9527424743759926,0.03621816196598784,-0.06368195292937734,-0.04727276402278783,-0.0035164111687599185,-10.087501,-29.437502,-30.243752,-77.0,-80.0,-84.0,-84.0,-85.0,-86.0,-91.0,-91.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
48,04:50:52:94,NaN,0.0,3.8076923076923075,-0.6500821345390937,0.9346580833596381,0.04398409627558471,-0.05197933964521266,-0.03360891841444462,-0.002861441839430756,-9.88125,-31.7625,-29.925001,-77.0,-80.0,-84.0,-84.0,-85.0,-86.0,-91.0,-91.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
49,04:50:53:10,NaN,0.0,3.9230769230769234,-0.6573792299996348,0.9285593041532338,0.0421444663247221,-0.04031606743027158,-0.021351694918276154,-0.0018331024157316076,-9.4125,-33.9375,-30.45,-77.0,-80.0,-84.0,-84.0,-85.0,-86.0,-91.0,-91.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
50,04:50:53:25,NaN,0.0,4.038461538461538,-0.6694306171822426,0.9343479122289886,0.033471237534379514,-0.030080644420042497,-0.011440013024883115,-0.0008862389939068148,-8.4375,-33.206253,-30.768751,-77.0,-80.0,-84.0,-84.0,-85.0,-86.0,-91.0,-91.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
51,04:50:53:40,NaN,0.0,4.153846153846154,-0.6861916310596605,0.948921699860518,0.0222918505609196,-0.022823896506367784,-0.004516333748760139,-0.0007102759629244312,-6.1687503,-34.050003,-30.618752,-77.0,-80.0,-84.0,-84.0,-85.0,-86.0,-91.0,-91.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
52,04:50:53:56,NaN,0.0,4.269230769230769,-0.7061166937053146,0.9685748377206822,0.011903908025053376,-0.01939318437956127,-0.0007418914971518848,-0.0018597753058258247,-4.89375,-38.15625,-27.675001,-77.0,-80.0,-84.0,-84.0,-85.0,-86.0,-91.0,-91.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
53,04:50:53:70,NaN,0.0,4.384615384615385,-0.7265362104809399,0.9910223253628279,0.0054664626140201395,-0.019148114043405697,0.00046541006738205586,-0.004593818593291895,-5.8500004,-37.4625,-25.687502,-77.0,-80.0,-84.0,-84.0,-85.0,-86.0,-91.0,-91.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
54,04:50:53:73,4.0,0.0,4.5,-0.7445399922866269,1.0153625055835493,0.005697676580788852,-0.020037372800012585,0.0003463477769519966,-0.008849331714038346,-6.5437503,-37.2,-24.525002,-77.0,-80.0,-84.0,-84.0,-85.0,-86.0,-91.0,-91.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
